name,title,company,profile_url
Derek Jones,Vice President,Hospitable.com,https://www.stage2.capital/team/derek-jones
Derek Rast,AVP Sales - APAC,Fastly,https://www.stage2.capital/team/derek-rast
Devin Reed,"Director, Content &amp; Thought Leadership",Clari,https://www.stage2.capital/team/devin-reed
Dexter Bachelder,CEO,Propel People <https://www.propelpeopleco.com/>,https://www.stage2.capital/team/dexter-bachelder
Don Matejko,"GM, Americas Field Operations",UserTesting,https://www.stage2.capital/team/don-matejko
Doug Andrews,"Vice President, Global Sales Operations",BeyondTrust,https://www.stage2.capital/team/doug-andrews
Doug Grigg,"President, Go To Market",Showpad,https://www.stage2.capital/team/doug-grigg
Drew Ferrara,"Regional Director, Enterprise",MongoDB,https://www.stage2.capital/team/drew-ferrara
Drew Mavrikos,Head of Sales,Rally UXR,https://www.stage2.capital/team/drew-mavrikos
Drew Woodcock,"Director, Customer Growth Account Management, AMS",Tricentis,https://www.stage2.capital/team/drew-woodcock
Edward Unthank,Founder and CEO,Etumos,https://www.stage2.capital/team/edward-unthank
Elena Hutchison,Founder,Up/Right Analyst Relations,https://www.stage2.capital/team/elena-hutchison
Eric Din,"Senior Vice President, Global Alliances",Medallia,https://www.stage2.capital/team/eric-din
Eric Janssen,Faculty Member; Founder,Ivey Business School at Western University; The Founder Sales Print,https://www.stage2.capital/team/eric-janssen
Eric Peters,Group Product Manager,HubSpot,https://www.stage2.capital/team/eric-peters
Erik Raudsepp,"VP, Product Engagement",Pactum AI,https://www.stage2.capital/team/erik-raudsepp
Evan Davies,GTM Leader,Superhuman <https://sprh.mn/com>,https://www.stage2.capital/team/evan-davies
Eve Alexander,"Senior Vice President, Corporate &amp; Product Marketing",Seismic,https://www.stage2.capital/team/eve-alexander
Evelyn Swaim,"Vice President, Global Growth Marketing",Seismic,https://www.stage2.capital/team/evelyn-swaim
Frank Guarasci,Senior Account Executive,Orgvue,https://www.stage2.capital/team/frank-guarasci
Gary Lombardo,CMO,Alpenglow Marketing,https://www.stage2.capital/team/gary-lombardo
Genefa Murphy,Chief Marketing Officer,Udemy,https://www.stage2.capital/team/genefa-murphy
Geoff Nugent,"Regional Vice President, Financial Services",Salesforce,https://www.stage2.capital/team/geoff-nugent
Graham Collins,Head of Partnerships,QuotaPath,https://www.stage2.capital/team/graham-collins
Grant Ho,CMO,IRONSCALES,https://www.stage2.capital/team/grant-ho
Hass Johnson,"Regional Vice President, SouthWest, Strategic Enterprise",LogicMonitor,https://www.stage2.capital/team/hass-johnson
Heather Ryan,RDI Head of Global Product,WTW,https://www.stage2.capital/team/heather-ryan
Hillary Carpio,"Senior Director, Account Based Marketing",Snowflake,https://www.stage2.capital/team/hillary-carpio
Holly Tompkins,Regional Sales Executive,Atlassian,https://www.stage2.capital/team/holly-tompkins
Hong Choing,Limited Partner,Stage 2 Capital Catalyst,https://www.stage2.capital/team/hong-choing
Idan Baum,"Senior Director, Enterprise &amp; Strategic Sales",KnowBe4 <http://www.knowbe4.com>,https://www.stage2.capital/team/idan-baum
Indy Sen,Mentor and Sales Coach,Alchemist Accelerator,https://www.stage2.capital/team/indy-sen
Jack Foster,Senior Vice President of Global Marketing,Theta Lake,https://www.stage2.capital/team/jack-foster
Jackson Brewer,"Regional Vice President, Growth Sales",Toast,https://www.stage2.capital/team/jackson-brewer
Jake Makler,"Partner, AI Consulting Practice Lead",IBM,https://www.stage2.capital/team/jake-makler
Jake Newfield,Co-Founder &amp; CEO,Hermetiq,https://www.stage2.capital/team/jake-newfield
James Kaikis,"Founder, Fractional CRO",GTMshift,https://www.stage2.capital/team/james-kaikis
James Lemonias,"Senior Vice President, Customer Success",Nasuni,https://www.stage2.capital/team/james-lemonias
James Melcer,Senior Vice President of Global Sales,Prezent,https://www.stage2.capital/team/james-melcer
Jared Thomas,Global Head of Growth,DigitalOcean,https://www.stage2.capital/team/jared-thomas
Javed Maqsood,Head of Sales &amp; Marketing,MSB Docs <https://www.msbdocs.com/>,https://www.stage2.capital/team/javed-maqsood
Javier Ortega Estrada,CRO,Vimeo,https://www.stage2.capital/team/javier-ortega-estrada
Jay Webb,Founder,The GOATS of Growth,https://www.stage2.capital/team/jay-webb
Jayashree Rajan,CMO,Nexla,https://www.stage2.capital/team/jayashree-rajan
Jeff Kirchick,Owner; Vice President of Sales,Much Will Be Expected LLC; Zorro,https://www.stage2.capital/team/jeff-kirchick
Jeff Schwartz,President,Solvr,https://www.stage2.capital/team/jeff-schwartz
Jennifer Patterson,Director Restaurant Success,Toast,https://www.stage2.capital/team/jennifer-patterson
Jennifer Roberts,Senior Director Partner Program and Enablement,"Scaled Agile, Inc.",https://www.stage2.capital/team/jennifer-roberts
Jennifer Woodford,"Director, Technical Support Engineering",NVIDIA <http://www.nvidia.com>,https://www.stage2.capital/team/jennifer-woodford
Jenny Moebius,"SVP, Head of Marketing",Skedda,https://www.stage2.capital/team/jenny-moebius
Jill Guardia,"Senior Vice President, Revenue Enablement &amp; Operations",Thought Industries,https://www.stage2.capital/team/jill-guardia
Jillian Kamiyama,Area Vice President | Emerging Sales,NetSuite,https://www.stage2.capital/team/jillian-kamiyama
Joe Fairleigh,Principal,The Fairleigh Group,https://www.stage2.capital/team/joe-fairleigh
Joe Sawyer,Chief Marketing Officer,Flashpoint,https://www.stage2.capital/team/joe-sawyer
John Sherer,Co-Founder,Different Health,https://www.stage2.capital/team/john-sherer
John Thackston,CEO,SOAR Performance Group,https://www.stage2.capital/team/john-thackston
Jon Rydberg,Founder and Principal,Align Advisory Group,https://www.stage2.capital/team/jon-rydberg
Josh Lillie,"Director, Startups",Databricks,https://www.stage2.capital/team/josh-lillie
Josh Seidman,Vice President of Sales,Kipi.ai,https://www.stage2.capital/team/josh-seidman
Joshua Ziel,Chief Sales Officer,Graylog,https://www.stage2.capital/team/joshua-ziel
Juan Anaya,Regional Sales Director - Emerging Markets,NetSuite,https://www.stage2.capital/team/juan-anaya
Justin Ryburn,"Field CTO &amp; Vice President, Global Solutions Engineering",Kentik,https://www.stage2.capital/team/justin-ryburn
Katherine Palmer,Global Vice President of Customer Success &amp; Renewals,DataCamp,https://www.stage2.capital/team/katherine-palmer
Kathie Johnson,Founder and CMO,Accel Growth Partners <https://www.accelgrowthpartners.ai>,https://www.stage2.capital/team/kathie-johnson
Kelli Lampkin,Regional Sales Director,Workday,https://www.stage2.capital/team/kelli-lampkin
Keshila Shannon,Senior Vice President of Global Marketing,Abode <https://www.abodehr.com/>,https://www.stage2.capital/team/keshila-shannon
Kevin DePriest,Enterprise Account Executive,Oscilar,https://www.stage2.capital/team/kevin-depriest
Kevin Hollingsworth,"Vice President, Head of Private Wealth",Swan Bitcoin,https://www.stage2.capital/team/kevin-hollingsworth
Krishna Ramaswamy,"Director of Product, Data Science &amp; Analytics",Order.co,https://www.stage2.capital/team/krishna-ramaswamy
Kristi Faltorusso,CCO,ClientSuccess,https://www.stage2.capital/team/kristi-faltorusso
Kyle Stout,Global Vice President of GTM Strategy and Operations,Datadog,https://www.stage2.capital/team/kyle-stout
Larry Simmons,Senior Vice President Technical Services,Snowplow,https://www.stage2.capital/team/larry-simmons
Lindsey Meyl,Vice President of Revenue Operations,iManage,https://www.stage2.capital/team/lindsey-meyl
Lisa Duncan,"Senior Director, Field Enablement",Hubspot,https://www.stage2.capital/team/lisa-duncan
Lukas Effman,"Head of Sales | Strategic Accounts (AP), Accountants &amp; Customer Success",Melio,https://www.stage2.capital/team/lukas-effman
Luke Abbott,Senior Vice President Sales Americas,Medallia,https://www.stage2.capital/team/luke-abbott
Luke Atwood,Director of Finance,Fringe,https://www.stage2.capital/team/luke-atwood
Manik Dhar,Chief Commercial Officer,May Mobility,https://www.stage2.capital/team/manik-dhar
Manuel Harnisch,Fractional CCO / Customer Success Leader; Co-Founder,topSERV Fractional; Bayence,https://www.stage2.capital/team/manuel-harnisch
Marilee Bear,Chief Revenue Officer,Gainsight,https://www.stage2.capital/team/marilee-bear
Mark Arnoldy,Growth &amp; Partnerships (Impact),Asana,https://www.stage2.capital/team/mark-arnoldy
Mark Mikitka,"Chief Revenue Officer, SAP Customer Experience, Americas",SAP,https://www.stage2.capital/team/mark-mikitka
Martin Spanik,"Vice President, Sales &amp; Strategic Alliances",OutThink,https://www.stage2.capital/team/martin-spanik
Maryna Hradovich,Co-Founder and Chief Operating Officer,Maestra,https://www.stage2.capital/team/maryna-hradovich
Matt Bennetti,CMO,Vladio,https://www.stage2.capital/team/matt-bennetti
Matt Brenner,"Vice President, Sales Development",SOCi,https://www.stage2.capital/team/matt-brenner
Matt Katz,"VP, Marketing Strategy &amp; Analytics",DocuSign,https://www.stage2.capital/team/matt-katz
Matt Nucifora,"Principal Manager, Mid-Market Sales",Hubspot,https://www.stage2.capital/team/matt-nucifora
Mauricio Suarez,Founder &amp; CEO,SAASMURAI,https://www.stage2.capital/team/mauricio-suarez
Max Bergen,Fractional Head of GTM,Founder Led GTM Coaching,https://www.stage2.capital/team/max-bergen
Melissa Toledo,"Founder; Mid-Market Manager, LATAM",Constante Consulting; Atlassian,https://www.stage2.capital/team/melissa-toledo
Michael Applebaum,Vice President of Marketing,Xpansiv,https://www.stage2.capital/team/michael-applebaum
Michael Cassidy,Global Client Director,ServiceNow <http://www.servicenow.com>,https://www.stage2.capital/team/michael-cassidy
Michael McMillan,"Vice President, Global Sales Strategy &amp; Integration",Cloudera,https://www.stage2.capital/team/michael-mcmillan
Michael Mooney,"Senior Vice President, North America Sales",Bitsight,https://www.stage2.capital/team/michael-mooney
Michael Weber,Head of Mid-Market Sales,Ramp,https://www.stage2.capital/team/michael-weber
Mike Connolly,Founder and CEO,Pay Forward Coaching,https://www.stage2.capital/team/mike-connolly
Mike Kavanagh,Vice President of Commercial Sales - N. America,OneTrust,https://www.stage2.capital/team/mike-kavanagh
Mike Noonan,"Principal Manager, Mid-Market Sales",Hubspot,https://www.stage2.capital/team/mike-noonan
Nate Skinner,CMO,8am <8am.com>,https://www.stage2.capital/team/nate-skinner
Neha Mirchandani,Vice President of Corporate Marketing,GoTo,https://www.stage2.capital/team/neha-mirchandani
Nick Graham,CRO,Formlabs,https://www.stage2.capital/team/nick-graham
